Culture,ResponsibilismSum5Items
Algeria,5.0775
Argentina,4.6021
Australia,3.8256
Austria,3.5676
Bahamas,4.2308
Bangladesh,5.0860
Barbados,4.9328
Belarus,4.2872
Belgium,3.6697
Brazil,4.2151
Canada,3.9585
Chile,4.1818
China,4.9781
Colombia,4.5377
Costa Rica,4.9754
Croatia,4.0586
Cyprus,4.1745
Czech Republic,4.2970
Denmark,3.1848
Egypt,5.2812
Estonia,4.1722
Ethiopia,5.0351
Finland,3.9639
France,3.6756
Germany,3.4426
Ghana,5.2936
Greece,3.7358
Guyana,5.0049
Hong Kong,4.5891
Hungary,3.8534
India,5.1983
Indonesia,5.1309
Iran,4.7868
Iraq,4.9038
Ireland,4.0211
Israel,4.6982
Italy,3.9475
Japan,3.6769
Kazakhstan,4.5900
Kenya,5.2996
Kuwait,5.5527
Latvia,4.7143
Lebanon,4.8787
Macau,4.4991
Madagascar,5.3374
Malawi,5.0844
Malaysia,5.2925
Mexico,4.7308
Mongolia,4.6095
Morocco,5.4600
Myanmar,5.0975
Namibia,5.3161
Nepal,4.8651
Netherlands,3.3607
New Zealand,3.6322
Nicaragua,4.7717
Nigeria,5.0053
Norway,3.4661
Oman,4.9124
Pakistan,5.1557
Peru,4.4429
Philippines,5.1404
Poland,4.2915
Portugal,4.2104
Puerto Rico,4.5333
Romania,4.0242
Russia,4.3906
Saudi Arabia,5.5731
Senegal,5.2813
Serbia,3.7955
Singapore,4.9481
Slovakia,4.2919
Slovenia,3.8376
South Africa,4.9027
South Korea,4.3714
Spain,4.5742
Sri Lanka,5.1373
Sweden,3.6208
Switzerland,3.6722
Taiwan,4.7010
Thailand,4.8557
Trinidad and Tobago,4.8286
Turkey,4.7738
Uganda,4.9817
UK,4.0318
Ukraine,4.3080
United States,4.2344
Uzbekistan,4.6946
Venezuela,4.7659
Vietnam,4.8713
Zambia,5.3045
Zimbabwe,5.1204
Overall Average,4.5478
