"","control_condition","intervention_condition","pa_effect_size","na_effect_size","optimism_effect_size","ls_effect_size","ladder_effect_size","envy_effect_size","indebted_effect_size"
"1","events","sub",0.423248440601756,-0.259709054418908,0.262548415236706,0.141466693848093,0.180856335418308,-0.161026925751396,0.0719523009402454
"2","events","list",0.378632092177429,-0.244294506159635,0.286773007854992,0.126241394981247,0.129937156761915,-0.137283052126627,0.0943729449274582
"3","events","hk.list",0.452653070578398,-0.27208947492478,0.317787220435413,0.132938924533874,0.143766844766557,-0.143484100315652,0.110961395005319
"4","events","letter",0.520556831658004,-0.36976037680882,0.322800104006287,0.110220630671377,0.137715361683263,-0.311526609151067,0.254888656697363
"5","events","god.letter",0.393665375468706,-0.318241293509278,0.284171102500021,0.17161681358478,0.182814483293099,-0.154669794129235,0.0788754030977805
"6","events","text",0.576255931757576,-0.354970319252364,0.37964583761996,0.119799671772074,0.124130931259551,-0.290083789181488,0.224059096136918
"7","measure","sub",0.304028568003437,-0.129036669177412,0.206414357393211,0.113784625247622,0.104899089252614,-0.0889286766632688,0.0620779551978807
"8","measure","list",0.259251006010938,-0.111400031491467,0.230522608025693,0.0986034552597784,0.0545860959074491,-0.0630091269916903,0.0841352115493034
"9","measure","hk.list",0.332891166436747,-0.142199535397785,0.261285800211751,0.105785116307491,0.0682622782703517,-0.0720664511861715,0.101062239110365
"10","measure","letter",0.403804818095413,-0.239635092246471,0.266936104396941,0.0831318798839998,0.0626226396273794,-0.240515642734569,0.244504173750777
"11","measure","god.letter",0.276546275519206,-0.187780673743807,0.228443258197359,0.144057899795852,0.108278560995439,-0.0828589134976692,0.0689713606274566
"12","measure","text",0.459793621833185,-0.22696581473295,0.324770233253785,0.092617330815685,0.0490856534772829,-0.220818396946499,0.214145620124881
"13","int.events","sub",0.234955656868567,-0.157303993170102,0.116173411166029,0.0962039765895476,0.0820851611854137,-0.10448834165012,0.107301543465343
"14","int.events","list",0.189591884815696,-0.13994865175116,0.140039952912007,0.0810800001854014,0.032120380567766,-0.0795687733637865,0.13043442223695
"15","int.events","hk.list",0.263865782477478,-0.170394737119699,0.170264103781191,0.0884631578787651,0.0456958839742142,-0.0877891997542083,0.145898501532932
"16","int.events","letter",0.336825578467474,-0.269448848519934,0.176653915687279,0.0659012187250811,0.0401765588812038,-0.252965029783998,0.289249361032529
"17","int.events","god.letter",0.208161578426899,-0.216861303792523,0.138591569831935,0.126462199557053,0.0858055795683123,-0.0984516597317383,0.114205951057591
"18","int.events","text",0.393563968514801,-0.25598979384996,0.235369181456893,0.0753086224480018,0.026699254172424,-0.233200518812996,0.257824504282145
