"","country","gratitude_effect_size","pa_effect_size","na_effect_size","optimistic_effect_size","ls_effect_size","ladder_effect_size","envy_effect_size","indebted_effect_size","guilty_effect_size","ss_effect_size","gratitude_var","pa_var","na_var","optimistic_var","ls_var","ladder_var","envy_var","indebted_var","guilty_var","ss_var"
"1","Mexico",1.01765863297978,0.834340830044363,-0.589031655670554,0.641645471201365,0.277711318202904,0.125886793102751,-0.324147299056254,0.0544539655200115,-0.128714742080036,0.463360856384225,0.0204933942984309,0.0198197743131151,0.0191269839772081,0.0192554574282621,0.0185915976376764,0.0184700180908901,0.0186470498107468,0.0184444580704201,0.0184714466626183,0.0188645732467461
"2","Canada",0.683732508266036,0.686522362121707,-0.398066899616173,0.49983464039798,0.19748438367246,0.306385947755926,-0.316619596913977,0.0959714124313971,0.00303360224449021,0.219520144172244,0.0192792084810352,0.0192868236420579,0.0186636051218923,0.0188456318373738,0.0184256426223394,0.0185349499274944,0.0185476503660754,0.0183663008498485,0.0183479715485308,0.0184439474269269
"3","Chile",0.971853398121948,0.661085848713064,-0.420834052716643,0.473162642197886,0.0778151914114446,-0.0820205683816484,-0.232156836768759,0.200768665335832,-0.0676103932648217,0.00411158499310375,0.0201095041197396,0.019098618605651,0.0185808233876375,0.0186740137980873,0.0182400941129134,0.0182414330962266,0.0183353960906904,0.0183083268877467,0.0182371378604493,0.0182280656290822
"4","Germany",0.630447300542074,0.575163949887591,-0.321144804124866,0.481602741056304,0.19477633012445,0.225673967841612,-0.230335758489111,0.252637279841254,-0.0890610976450032,0.22157205457974,0.0181140517906351,0.0179812824091401,0.0175277374210248,0.0177843254986673,0.0173978645795115,0.0174237429081661,0.0174279776131012,0.0174494338551865,0.0173380917913382,0.0174200883974277
"5","Israel",0.72488656287398,0.55871337823376,-0.693207048397183,0.389449124561642,0.400150635032242,0.492546374425148,-0.458453556444688,0.0305856964749036,-0.20836143797838,0.0909850394996897,0.0189590714354,0.0185290313345575,0.0188684978122392,0.0182054627490826,0.0182224988581448,0.0183887920037953,0.0183234245289111,0.017901561265629,0.0179872044188701,0.0179163652829353
"6","Ireland",0.755905607761503,0.557397481291417,-0.344392011113554,0.369773529321623,0.129979372959529,0.145574779609976,-0.129716943309065,0.279423845105633,-0.170942608527227,0.170253821505478,0.0181207152683901,0.0175993125969995,0.0172151404073372,0.0172513936186734,0.0170117179674894,0.0170203127256165,0.0170115816634624,0.0171340840631267,0.0170363714435197,0.0170359014201739
"7","Spain",0.85921594723392,0.556594803610596,-0.0261725444802958,0.309664132950189,0.236122280486235,0.135762259998774,-0.0662287098673134,0.267580669950758,0.134040949264141,-0.0640667995167541,0.0189692272903457,0.0181157327314318,0.0174999702347749,0.0176896253605742,0.0176096688986344,0.0175353216075945,0.0175073432226756,0.017641234005386,0.017534396477793,0.0175067820927744
"8","South Africa",0.489795126076726,0.526237573018836,-0.592792872280062,0.142974344348223,0.309554228676129,0.119380176964374,-0.523317003084576,0.145508713077298,-0.389212153840491,0.268983587602633,0.018742935464768,0.0188149718805817,0.0189598695579539,0.0183159751488406,0.0184626330425166,0.0183039322762924,0.018809008266692,0.0183173975660383,0.018570925416458,0.0184169683536223
"9","Malaysia",0.67385099135866,0.480447109927564,-0.596281707027682,0.305880403360989,-0.0650580586217397,-0.113523206669105,-0.421526889894923,0.020716973313371,-0.2027191270526,-0.00729561435600245,0.0111919316092943,0.0109169984404306,0.011070597515182,0.010747950898217,0.010637938250226,0.0106485970771482,0.0108515495407591,0.0106332543117921,0.0106833354096858,0.0106327912982521
"10","Turkey",0.738946520297924,0.479479674366485,-0.17017444158426,0.377839979246163,0.0645754913371592,0.00950303808885797,0.133614906494921,-0.0970050376873663,-0.094086790660647,0.18107971178968,0.0154037771527185,0.0148905609161441,0.0145643573162057,0.0147491035976151,0.0145241148706098,0.0145174920031609,0.0145463274504088,0.0145326213369333,0.0145317160558295,0.0145705756951883
"11","Portugal",0.675306819373015,0.479243837904121,-0.162111965792807,0.202010277105588,0.204554803153366,0.0341443789074167,-0.145117983755946,0.0298246556783862,-0.210545329126662,-0.166338741098617,0.0181107577420253,0.0176580284537801,0.0172512397203484,0.0172802954455545,0.0172823644764282,0.0172010108186639,0.0172407975998607,0.0172004581616146,0.017287337812676,0.0172540162950225
"12","South Korea",0.788016407982983,0.43123483115905,-0.237694178590103,0.282709048182058,0.295625080114597,0.330435791222576,-0.274399092019444,0.140995022413981,-0.221957106108245,-0.0115481559084087,0.0148172816655502,0.0141541621843831,0.0139568070668996,0.0139925172549917,0.0140039041179014,0.0140371261059016,0.0139854600229446,0.0139009855330732,0.0139457802900952,0.0138708845628894
"13","Australia",0.641247536786146,0.387083904413186,0.0540995649923014,0.396036793354468,-0.0622104402135021,-0.0222046661698395,0.0535561850618822,0.42647197145227,-0.0371562124948226,0.0982623130763695,0.0195897566146908,0.0190670277059337,0.018773213333687,0.0190810500912032,0.0187751000855654,0.0187683459022217,0.018773096337739,0.019131116492691,0.0187701209760762,0.0187866707721645
"14","Netherlands",0.538261803419981,0.384557530290459,-0.429565249873776,0.260173648217528,0.30110160128826,0.16524755886203,-0.239033792033943,-0.0605087745579322,-0.163515999674349,0.060302907655811,0.0180757486549669,0.0177931963144931,0.0178661879674732,0.0176334469780862,0.0176792076296231,0.0175530016164986,0.0176124247201326,0.0175058991385876,0.0175518676054222,0.0175058495945103
