"","outcome","contrast","estimate","SE","df","t.ratio","p.value"
"1","gratitude","divine.grat - events",0.53,0.08,36.09,6.72,"***"
"2","gratitude","divine.grat - int.events",0.27,0.07,35.83,3.73,"***"
"3","gratitude","divine.grat - letter",-0.6,0.08,36.33,-7.48,"***"
"4","gratitude","divine.grat - list",-0.13,0.06,34.58,-1.94,"."
"5","gratitude","divine.grat - measure",0.43,0.07,35.94,5.89,"***"
"6","gratitude","divine.grat - mental.sub",-0.25,0.06,34.38,-3.88,"***"
"7","gratitude","divine.grat - naikan",-0.22,0.07,35.57,-3.1,"**"
"8","gratitude","divine.grat - text",-0.6,0.08,36.29,-7.35,"***"
"9","gratitude","events - int.events",-0.25,0.07,35.7,-3.7,"***"
"10","gratitude","events - letter",-1.13,0.09,37.04,-12.12,"***"
"11","gratitude","events - list",-0.65,0.08,36.21,-8.65,"***"
"12","gratitude","events - measure",-0.09,0.07,35.64,-1.4," "
"13","gratitude","events - mental.sub",-0.78,0.07,36.05,-10.56,"***"
"14","gratitude","events - naikan",-0.75,0.08,36.29,-9.87,"***"
"15","gratitude","events - text",-1.12,0.1,37.1,-11.64,"***"
"16","gratitude","int.events - letter",-0.87,0.08,36.42,-11.34,"***"
"17","gratitude","int.events - list",-0.4,0.06,35.19,-6.16,"***"
"18","gratitude","int.events - measure",0.16,0.07,36,2.3,"*"
"19","gratitude","int.events - mental.sub",-0.52,0.07,35.44,-7.9,"***"
"20","gratitude","int.events - naikan",-0.49,0.07,35.46,-7.48,"***"
"21","gratitude","int.events - text",-0.87,0.08,36.62,-10.61,"***"
"22","gratitude","letter - list",0.48,0.06,35.06,7.45,"***"
"23","gratitude","letter - measure",1.03,0.1,37.27,10.61,"***"
"24","gratitude","letter - mental.sub",0.35,0.07,35.29,5.32,"***"
"25","gratitude","letter - naikan",0.38,0.06,34.68,6.15,"***"
"26","gratitude","letter - text",0,0.06,33.79,0.06," "
"27","gratitude","list - measure",0.56,0.07,36.37,7.45,"***"
"28","gratitude","list - mental.sub",-0.12,0.06,33.28,-2.2,"*"
"29","gratitude","list - naikan",-0.1,0.06,33.73,-1.67," "
"30","gratitude","list - text",-0.47,0.07,34.94,-7.25,"***"
"31","gratitude","measure - mental.sub",-0.68,0.07,36.36,-9.15,"***"
"32","gratitude","measure - naikan",-0.65,0.08,36.76,-8.15,"***"
"33","gratitude","measure - text",-1.03,0.1,37.26,-10.57,"***"
"34","gratitude","mental.sub - naikan",0.03,0.06,33.83,0.48," "
"35","gratitude","mental.sub - text",-0.35,0.07,35.15,-5.19,"***"
"36","gratitude","naikan - text",-0.38,0.06,34.71,-5.9,"***"
"37","pa","divine.grat - events",0.53,0.06,34.2,8.31,"***"
"38","pa","divine.grat - int.events",0.26,0.07,34.78,4.01,"***"
"39","pa","divine.grat - letter",-0.19,0.06,33.83,-3.04,"**"
"40","pa","divine.grat - list",0.01,0.06,33.81,0.17," "
"41","pa","divine.grat - measure",0.37,0.07,34.69,5.66,"***"
"42","pa","divine.grat - mental.sub",-0.04,0.06,32.77,-0.73," "
"43","pa","divine.grat - naikan",-0.08,0.06,33.59,-1.35," "
"44","pa","divine.grat - text",-0.26,0.07,34.23,-3.94,"***"
"45","pa","events - int.events",-0.27,0.07,35.49,-4.01,"***"
"46","pa","events - letter",-0.72,0.07,35.75,-10.16,"***"
"47","pa","events - list",-0.52,0.07,35.94,-7.14,"***"
"48","pa","events - measure",-0.16,0.07,35.52,-2.45,"*"
"49","pa","events - mental.sub",-0.58,0.06,34.94,-8.93,"***"
"50","pa","events - naikan",-0.62,0.07,35.19,-9.38,"***"
"51","pa","events - text",-0.8,0.08,35.94,-10.59,"***"
"52","pa","int.events - letter",-0.45,0.07,35.76,-6.51,"***"
"53","pa","int.events - list",-0.25,0.07,35.13,-3.9,"***"
"54","pa","int.events - measure",0.11,0.07,35.82,1.55," "
"55","pa","int.events - mental.sub",-0.31,0.06,35.15,-4.76,"***"
"56","pa","int.events - naikan",-0.35,0.06,35.19,-5.37,"***"
"57","pa","int.events - text",-0.53,0.07,35.88,-7.22,"***"
"58","pa","letter - list",0.2,0.06,34.9,3.14,"**"
"59","pa","letter - measure",0.56,0.08,36.46,7.18,"***"
"60","pa","letter - mental.sub",0.15,0.06,34.99,2.26,"*"
"61","pa","letter - naikan",0.11,0.06,34.64,1.72,"."
"62","pa","letter - text",-0.07,0.06,33.69,-1.17," "
"63","pa","list - measure",0.36,0.07,35.62,5.27,"***"
"64","pa","list - mental.sub",-0.05,0.06,34.04,-0.89," "
"65","pa","list - naikan",-0.09,0.06,34.19,-1.56," "
"66","pa","list - text",-0.27,0.06,34.63,-4.22,"***"
"67","pa","measure - mental.sub",-0.41,0.06,34.6,-6.68,"***"
"68","pa","measure - naikan",-0.45,0.07,35.93,-6.47,"***"
"69","pa","measure - text",-0.63,0.08,36.67,-7.66,"***"
"70","pa","mental.sub - naikan",-0.04,0.06,34.15,-0.66," "
"71","pa","mental.sub - text",-0.22,0.07,35.1,-3.22,"**"
"72","pa","naikan - text",-0.18,0.06,34.13,-2.88,"**"
"73","optimism","divine.grat - events",0.39,0.08,35.84,4.85,"***"
"74","optimism","divine.grat - int.events",0.17,0.07,35.25,2.35,"*"
"75","optimism","divine.grat - letter",-0.07,0.07,33.87,-1.13," "
"76","optimism","divine.grat - list",-0.03,0.06,33.15,-0.43," "
"77","optimism","divine.grat - measure",0.31,0.07,35.31,4.29,"***"
