"","country","overall.effect","overall.var","ci_lower","ci_upper"
"1","Mexico",0.834340830044363,0.0198197743131151,0.558406698409179,1.11027496167955
"2","Canada",0.686522362121707,0.0192868236420579,0.414323424388053,0.958721299855361
"3","Chile",0.661085848713064,0.019098618605651,0.390218255163247,0.931953442262881
"4","Germany",0.575163949887591,0.0179812824091401,0.312339113726789,0.837988786048393
"5","Israel",0.55871337823376,0.0185290313345575,0.291915464495972,0.825511291971548
"6","Ireland",0.557397481291417,0.0175993125969995,0.297379175642308,0.817415786940526
"7","Spain",0.556594803610596,0.0181157327314318,0.292789195518068,0.820400411703124
"8","South Africa",0.526237573018836,0.0188149718805817,0.257388924191205,0.795086221846467
"9","Malaysia",0.480447109927564,0.0109169984404306,0.275657605292297,0.685236614562831
"10","Turkey",0.479479674366485,0.0148905609161441,0.2403069777319,0.71865237100107
"11","Portugal",0.479243837904121,0.0176580284537801,0.2187921492783,0.739695526529942
"12","South Korea",0.43123483115905,0.0141541621843831,0.198051149381087,0.664418512937013
"13","Australia",0.387083904413186,0.0190670277059337,0.116440423732208,0.657727385094164
"14","Netherlands",0.384557530290459,0.0177931963144931,0.123110895273374,0.646004165307544
"15","Sweden",0.373045084853971,0.016248628138114,0.123203675445165,0.622886494262777
"16","United Kingdom",0.372693911640387,0.017435568118141,0.113888041377268,0.631499781903506
"17","Colombia",0.370318650801739,0.015288063008389,0.127974633229555,0.612662668373923
"18","Hungary",0.362031399634587,0.0173106877512396,0.104154029427037,0.619908769842137
"19","Italy",0.362027036402466,0.0178913493488893,0.0998602809610235,0.624193791843908
"20","United States",0.346637057225227,0.00291052391821888,0.240896484670367,0.452377629780087
"21","Greece",0.310873075582559,0.0186994652027199,0.0428509393274191,0.578895211837699
"22","India",0.289195943058185,0.0265720475578733,-0.0303023791570123,0.608694265273382
"23","Kazakhstan",0.24952852994568,0.0227698629368215,-0.0462293194143894,0.545286379305749
"24","Nigeria",0.224868129956022,0.00640064622312844,0.0680602139225187,0.381676045989525
"25","France",0.220857897371448,0.0170077295818358,-0.0347529278327683,0.476468722575664
"26","Brazil",0.219357056068005,0.00742869466993007,0.050424899732974,0.388289212403036
"27","Ghana",0.18223229026282,0.0172911431141595,-0.0754994605700084,0.439964041095648
"28","Denmark",0.15743880903011,0.0141894153024389,-0.0760350820709064,0.390912700131126
"29","Japan",0.149110765702041,0.0178609982801302,-0.112833524163091,0.411055055567173
"30","Poland",0.14190951311429,0.00856027218653111,-0.0394330953145564,0.323252121543136
"31","Thailand",0.108773483015989,0.0747480718064835,-0.427092351546905,0.644639317578883
"32","Macedonia",0.0959221892283549,0.0206013088923134,-0.185399669575242,0.377244048031952
"33","Norway",0.0535551404080804,0.0252489207852183,-0.257887075883312,0.364997356699473
"34","China",0.0470109166035861,0.0812712502526914,-0.511748096720351,0.605769929927523
