,country,control_condition,intervention_condition,contrast,pa_effect_size,na_effect_size,optimism_effect_size,ls_effect_size,ladder_effect_size,envy_effect_size,indebted_effect_size,pa_var,na_var,optimism_var,ls_var,ladder_var,envy_var,indebted_var
1,Poland,events,sub,events vs sub,0.385868062,-0.274507263,0.226457591,0.161862831,0.066059172,-0.255930335,-0.154236759,0.03372966,0.033425776,0.033326309,0.033222658,0.033132427,0.033385058,0.033212697
2,Poland,events,list,events vs list,0.434083236,-0.362347636,0.27935026,0.141081824,0.11999575,-0.117280918,-0.222399677,0.032239859,0.032014929,0.031805246,0.031576378,0.031554705,0.031552169,0.031692747
3,Poland,events,hk.list,events vs hk.list,0.398493841,-0.18519396,0.184755999,0.163566149,0.07226192,-0.140769353,0.012937732,0.036575659,0.036024772,0.036024055,0.035991396,0.035896121,0.035960697,0.035873757
4,Poland,events,letter,events vs letter,0.240020045,-0.272876117,0.151054214,-0.022365332,-0.005288988,-0.259248149,0.075227561,0.035733533,0.035807444,0.035580935,0.035483053,0.035480982,0.035775638,0.03550568
5,Poland,events,god.letter,events vs god.letter,0.438935401,-0.4881664,0.322875511,0.212864909,0.062613771,-0.148684001,-0.247003537,0.037574206,0.037779802,0.037175937,0.036910455,0.036724009,0.03680593,0.036981172
6,Poland,events,text,events vs text,0.503549183,-0.318497713,0.494403355,0.334289016,0.35062396,-0.306005628,0.251563631,0.036592972,0.035925775,0.036552941,0.035970987,0.036020057,0.035891558,0.035758422
7,Poland,measure,sub,measure vs sub,-0.030622996,0.000194094,-0.013976694,-0.031377216,-0.111197257,-0.183332784,-0.317214153,0.03311827,0.033114395,0.033115202,0.033118463,0.03316549,0.033253283,0.0335302
8,Poland,measure,list,measure vs list,0.007644635,-0.081563997,0.031910567,-0.056770345,-0.05509248,-0.051107219,-0.379134847,0.031498246,0.031524208,0.031502025,0.031510704,0.031509965,0.031508299,0.032063934
9,Poland,measure,hk.list,measure vs hk.list,-0.018623683,0.078389884,-0.062324439,-0.038788212,-0.111569368,-0.073632475,-0.117412442,0.035874551,0.035900206,0.035890203,0.035879673,0.035928094,0.035897006,0.035934014
10,Poland,measure,letter,measure vs letter,-0.171820852,0.006937975,-0.073453995,-0.218228512,-0.191921542,-0.185923827,-0.061077537,0.035610343,0.03548107,0.035504523,0.035689735,0.035642411,0.035632472,0.035497221
11,Poland,measure,god.letter,measure vs god.letter,0.016271387,-0.222907193,0.083981611,0.00184389,-0.113357775,-0.086590482,-0.418362466,0.036707542,0.036930167,0.036738119,0.036706365,0.036764232,0.036740124,0.03749476
12,Poland,measure,text,measure vs text,0.093995494,-0.054164682,0.259873686,0.131190769,0.180743212,-0.237763902,0.129330599,0.03551961,0.035493727,0.035777062,0.035556346,0.03562414,0.035728805,0.03555422
13,Poland,int.events,sub,int.events vs sub,0.060406762,-0.072866167,0.061763402,0.155521834,-0.002913483,-0.038661873,0.137681258,0.034206126,0.034213222,0.034206834,0.034293895,0.034190568,0.03419692,0.034271541
14,Poland,int.events,list,int.events vs list,0.101687229,-0.162424945,0.110651544,0.133240699,0.053929008,0.088370383,0.049169176,0.032616186,0.032681396,0.032623924,0.03264632,0.032585975,0.032605898,0.03258398
15,Poland,int.events,hk.list,int.events vs hk.list,0.072799766,0.013735119,0.014599541,0.158640293,0.001115429,0.067575059,0.277349088,0.036973464,0.036950018,0.03695013,0.037064596,0.036949158,0.036970099,0.037302008
16,Poland,int.events,letter,int.events vs letter,-0.084721252,-0.067870818,-0.003559683,-0.040433513,-0.081413247,-0.040038067,0.366271115,0.036589622,0.036577934,0.036557053,0.036564427,0.036587123,0.036564282,0.037166789
17,Poland,int.events,god.letter,int.events vs god.letter,0.109747142,-0.31180699,0.160659109,0.212855608,-0.005896742,0.04185702,0.035109129,0.037838768,0.038236802,0.0379031,0.037994203,0.037782648,0.037790673,0.037788246
18,Poland,int.events,text,int.events vs text,0.185841893,-0.128118959,0.337056322,0.340966991,0.297881571,-0.106852128,0.553174837,0.036713983,0.036631607,0.037073391,0.037085443,0.036960329,0.036608893,0.037947916
19,Denmark,measure,hk.list,measure vs hk.list,0.38923629,-0.161649226,0.568887563,0.364417059,0.492654189,-0.123308899,0.003964844,0.048672916,0.047952373,0.049662158,0.048565415,0.049197072,0.047889583,0.047802288
20,Denmark,measure,god.letter,measure vs god.letter,0.19132906,-0.184526025,0.293348692,0.165365159,0.199732643,-0.301122387,0.17056636,0.04574993,0.045735725,0.046024633,0.045698479,0.045768187,0.046050307,0.045708186
21,Denmark,measure,letter,measure vs letter,0.645880331,-0.502460193,0.558069575,0.504478817,0.346714557,-0.817576961,-0.27343883,0.046497951,0.045602868,0.045923387,0.045613915,0.04488409,0.047863552,0.044637121
22,Denmark,measure,sub,measure vs sub,0.224451478,0.067776292,0.295163556,0.27279232,0.528911034,0.049598707,-0.020215954,0.049830143,0.049560821,0.050046279,0.049971539,0.051179369,0.04954827,0.049536204
23,Denmark,measure,list,measure vs list,-0.023197236,-0.026328656,-0.05614582,0.105215324,0.152451017,-0.11137594,-0.09093807,0.052567384,0.052568329,0.052583324,0.052631604,0.052705818,0.05263974,0.052614528
24,Denmark,measure,text,measure vs text,0.219724269,-0.041681233,0.45511276,0.448202028,0.366012259,-0.302702181,0.139408485,0.056573368,0.056278802,0.057578741,0.057539231,0.057115686,0.056847734,0.056390811
25,Denmark,int.events,hk.list,int.events vs hk.list,0.247794563,-0.220211926,0.245746181,-0.113449611,0.008901722,0.045217005,0.023826789,0.066103644,0.065999541,0.066095491,0.065712262,0.065609105,0.065624954,0.065613044
26,Denmark,int.events,god.letter,int.events vs god.letter,0.003611963,-0.238835828,-0.047747838,-0.303683978,-0.316275631,-0.110198622,0.254337443,0.063352927,0.063791615,0.063370364,0.064062242,0.06412229,0.06344624,0.063850423
27,Denmark,int.events,letter,int.events vs letter,0.549078933,-0.566652086,0.244279299,0.090550709,-0.138984641,-0.656763575,-0.314966822,0.064286945,0.064433265,0.062482353,0.062098227,0.062181192,0.06525598,0.062777366
28,Denmark,int.events,sub,int.events vs sub,0.050840776,0.011036579,-0.057969692,-0.139231576,0.10471495,0.205496193,-0.00813196,0.067361607,0.067341082,0.067368071,0.067501613,0.067431444,0.067691973,0.067340618
29,Denmark,int.events,list,int.events vs list,-0.25612142,-0.082872488,-0.487314565,-0.392812303,-0.350348834,0.056859314,-0.10262079,0.070945793,0.070430615,0.072453489,0.071723892,0.071447075,0.07039873,0.070462748
30,Denmark,int.events,text,int.events vs text,0.04882278,-0.093390515,0.137477006,0.013987658,-0.08850394,-0.135689605,0.170787645,0.074096145,0.074154831,0.074249073,0.074075886,0.074146601,0.074244552,0.074344152
31,Denmark,events,hk.list,events vs hk.list,0.035623774,-0.03463737,0.140781732,-0.222000265,0.185627144,0.155181251,-0.040825963,0.061914524,0.061913991,0.06205722,0.062283871,0.062169819,0.062090002,0.061917583
32,Denmark,events,god.letter,events vs god.letter,-0.156050094,-0.060000248,-0.099407305,-0.389005824,-0.108940691,0.019163989,0.138188256,0.059828179,0.059675594,0.059721783,0.060761811,0.059736388,0.059651823,0.059789535
33,Denmark,events,letter,events vs letter,0.324753198,-0.36588721,0.158019377,-0.023830371,0.043248514,-0.508740928,-0.327296194,0.059086652,0.059289572,0.058511691,0.05833739,0.058346694,0.060182029,0.059098496
34,Denmark,events,sub,events vs sub,-0.105935122,0.169281936,-0.109208076,-0.229201023,0.243206306,0.313944342,-0.063758256,0.063725429,0.063863795,0.063731018,0.064053293,0.064105803,0.064418594,0.063668626
35,Denmark,events,list,events vs list,-0.379825745,0.08933599,-0.471985433,-0.466287181,-0.144837484,0.167200531,-0.142416842,0.067868897,0.066733174,0.068523085,0.068478531,0.066841482,0.066899633,0.066835688
36,Denmark,events,text,events vs text,-0.105338783,0.06858851,0.061929081,-0.101536044,0.078011959,-0.038447322,0.103217569,0.070467706,0.070411637,0.070404013,0.070460805,0.070423755,0.070383337,0.070463825
37,Turkey,int.events,list,int.events vs list,0.345650289,-0.018036203,0.171246528,0.134005402,0.155160443,0.206448957,-0.279515204,0.056428137,0.055600715,0.055802104,0.05572316,0.055765641,0.055894436,0.056141016
38,Turkey,int.events,sub,int.events vs sub,0.410750077,-0.088739208,0.245452459,0.296371633,0.09466119,-0.156181684,-0.190714735,0.068415882,0.067097513,0.067526794,0.067752935,0.067106416,0.067232907,0.067331099
39,Turkey,int.events,hk.list,int.events vs hk.list,0.494670518,-0.120693861,0.188238008,0.45161305,0.195155815,0.151880011,-0.178150598,0.063787061,0.062016816,0.062177328,0.063473641,0.06219773,0.062082205,0.062148898
40,Turkey,int.events,god.letter,int.events vs god.letter,0.043909018,0.03237207,0.139544642,0.054279285,-0.113713036,0.225350137,-0.040861568,0.056362784,0.056356586,0.056486338,0.056369955,0.056440267,0.056706831,0.056360965
41,Turkey,int.events,text,int.events vs text,0.227267109,0.049048028,0.103020081,0.1300213,0.024774819,0.139693604,0.255950244,0.053301477,0.0529775,0.053031496,0.053072893,0.052965711,0.053090056,0.053392663
